Nom,Prenom,IdHAL de l'Auteur,IdHAL des auteurs de la publication,Titre,Docid,Année de Publication,Type de Document,Domaine,Mots-clés,Laboratoire de Recherche
Philippe,Laurent,laurent-philippe,"['manuel-rebuschi', 'laurent-rollet']","['Sciences, Circulations, Révolutions']",4055126,2023,Ouvrage,"Sciences humaines et sociales, Domaine non défini, Mathématiques, Sciences humaines et sociales, Philosophie","['Révolutions', 'Circulations', 'Mathématiques', 'Géométrie projective', 'Géodésiques', 'Académies', 'Histoire', 'Répertoires bibliographiques', 'Journaux', 'Henri Poincaré', 'Gösta Mittag-Leffler', 'Jules Hoüel', 'CNU', 'Sociétés savantes', 'Histoire par en bas', 'Microhistoire', 'Histoire sociale', 'Institutions', 'Contextes', 'Internalisme', 'Externalisme', 'Matérialité', 'Matérialisme critique', 'Material turn', 'Collectif', 'Archives', 'Syndicalisme', 'KGC von Staudt', 'Engagement', 'Correspondances', 'Transcriptions', 'Épistolaire', 'Répertoires', 'Bibliographie', 'Biographie', 'Prosopographie', 'Recherche publique', 'Défense des statuts']",['Archives Henri-Poincaré - Philosophie et Recherches sur les Sciences et les Technologies']
Philippe,Laurent,laurent-philippe,"['aglutsyu', 'sorin-dumitrescu', 'philippe-eyssidieux', 'laurent-meersseman']","['Variétés complexes, feuilletages, uniformisation']",1894756,2012,Ouvrage,"Mathématiques, Domaine non défini",[],"['Institut de Mathématiques de Bourgogne [Dijon]', 'Laboratoire Jean Alexandre Dieudonné', 'Institut Fourier', 'Unité de Mathématiques Pures et Appliquées', 'Laboratoire Angevin de Recherche en Mathématiques']"
Philippe,Laurent,laurent-philippe,"['anna-aksamit', 'nizar-demni', 'jeanblanc', 'alain-rouault']",['In Memoriam Marc Yor - Séminaire de Probabilités XLVII'],1200589,2015,Ouvrage,"Mathématiques, Mathématiques pures",[],"['Laboratoire de Mathématiques de Versailles', 'Institut de Recherche Mathématique Avancée']"
Postoyan,Romain,romain-postoyan,"['paolo-frasca', 'elena-panteley', 'romain-postoyan', 'luca-zaccarian']",['Hybrid and networked dynamical systems'],4628500,2024,Ouvrage,"Sciences de l'ingénieur, Automatique, Mathématiques, Domaine non défini","['Multi-agent systems', 'Data-driven control', 'Observer design', 'Neural networks', 'Hybrid dynamical systems', 'Distributed control', 'Reset control', 'Event-triggered control', 'Networked systems', 'Stability analysis', 'Switched systems']","['Centre de Recherche en Automatique de Nancy', 'Inria Grenoble - Rhône-Alpes', 'Grenoble Images Parole Signal Automatique', 'Laboratoire des signaux et systèmes', ""Laboratoire d'analyse et d'architecture des systèmes""]"
Quadrat,Alban,inria-00083224,['Id non disponible'],['Algebraic and Symbolic Computation Methods in Dynamical Systems'],3070784,2020,Ouvrage,"Mathématiques, Mathématiques appliquées, Sciences de l'ingénieur, Automatique, Informatique, Domaine non défini, Mathématiques, Domaine non défini, Mathématiques, Domaine non défini, Mathématiques, Optimisation et contrôle","['Algebraic Theories', 'Control Theory', 'Computer Algebra System', 'Symbolic Computation Method', 'Algebraic Computation Methods']","['Inria de Paris', 'Institut de Mathématiques de Jussieu - Paris Rive Gauche']"
Ramdani,Nacim,nacim-ramdani,['luc-jaulin'],['Interval Methods and Applications'],1171487,2015,Ouvrage,"Mathématiques, Sciences de l'ingénieur, Automatique","['Automatic', 'Interval methods']","['Laboratoire Pluridisciplinaire de Recherche en Ingénierie des Systèmes, Mécanique et Energétique [2008-2013]', 'Département STIC [Brest]', ""Laboratoire des sciences et techniques de l'information, de la communication et de la connaissance""]"
Robert,Michel,michel-robert,"['jean-michel-marin', 'christian-robert']",['Bayesian essentials with R'],1337395,2014,Ouvrage,"Mathématiques, Statistiques",[],"['Institut de Mathématiques et de Modélisation de Montpellier', 'CEntre de REcherches en MAthématiques de la DEcision']"
Sigalotti,Mario,mario-sigalotti,"['ugo-boscain', 'davidebarilari', 'mario-sigalotti']","['Geometry, Analysis and Dynamics on sub-Riemannian Manifolds - Volume II']",1390382,2016,Ouvrage,"Mathématiques, Optimisation et contrôle",[],"['Institut de Mathématiques de Jussieu - Paris Rive Gauche', ""Centre de Mathématiques Appliquées de l'Ecole polytechnique"", ""Centre de Mathématiques Appliquées de l'Ecole polytechnique"", 'Inria Saclay - Ile de France']"
Sigalotti,Mario,mario-sigalotti,"['ugo-boscain', 'davidebarilari', 'mario-sigalotti']","['Geometry, Analysis and Dynamics on sub-Riemannian Manifolds - Volume I']",1390381,2016,Ouvrage,"Mathématiques, Optimisation et contrôle",[],"['Institut de Mathématiques de Jussieu - Paris Rive Gauche', ""Centre de Mathématiques Appliquées de l'Ecole polytechnique"", ""Centre de Mathématiques Appliquées de l'Ecole polytechnique"", 'Inria Saclay - Ile de France']"
Sigalotti,Mario,mario-sigalotti,"['ugo-boscain', 'mario-sigalotti']",['Geometric Control Theory and sub-Riemannian Geometry'],923636,2014,Ouvrage,"Mathématiques, Optimisation et contrôle",[],"['Département de Mathématiques Appliqués ""G. Sansone""', ""Centre de Mathématiques Appliquées de l'Ecole polytechnique"", 'Inria Saclay - Ile de France', ""Laboratoire des Sciences de l'Information et des Systèmes"", 'Dipartimento di Matematica per le Decisioni', ""Centre de Mathématiques Appliquées de l'Ecole polytechnique""]"
Simon,Christophe,christophe-simon,"['anna-aksamit', 'alexis-devulder', 'fmaunoury', 'njuillet', 'gilles-pages', 'christophe-profeta', 'kilian-raschel', 'camille-tardif']",['Séminaire de Probabilités XLVIII'],1403845,2016,Ouvrage,"Mathématiques, Mathématiques pures",[],"['Institut de Recherche Mathématique Avancée', 'Laboratoire de Probabilités et Modèles Aléatoires', 'Inria Sophia Antipolis - Méditerranée', 'Institut Élie Cartan de Lorraine', 'Laboratoire de Mathématiques de Versailles', 'Institute of Mathematics [Debrecen]', 'Institut de Recherche Mathématique de Rennes', 'Laboratoire de Mathématiques et Physique Théorique', ""Laboratoire de Mathématiques et Modélisation d'Evry"", 'Laboratoire Paul Painlevé - UMR 8524', ""Laboratoire Traitement et Communication de l'Information"", 'Institut Fourier', 'Mathematical Institute [Oxford]']"
Tarbouriech,Sophie,sophie-tarbouriech,"['antoine-girard', 'laurentiu-hetel', 'sophie-tarbouriech']",['Control Subject to Computational and Communication Constraints'],1818954,2018,Ouvrage,"Mathématiques, Optimisation et contrôle, Sciences de l'ingénieur, Automatique, Informatique, Domaine non défini","['Sampled-data Systems', 'Event-triggered Architecture', 'Event-based Control', 'Switched Systems', 'Limited Information', 'Computational Constraints', 'Hybrid Dynamical Systems']","[""Laboratoire d'analyse et d'architecture des systèmes"", 'Laboratoire des signaux et systèmes', 'Centre de Recherche en Informatique, Signal et Automatique de Lille - UMR 9189']"
Zaccarian,Luca,luca-zaccarian,"['paolo-frasca', 'elena-panteley', 'romain-postoyan', 'luca-zaccarian']",['Hybrid and networked dynamical systems'],4628500,2024,Ouvrage,"Sciences de l'ingénieur, Automatique, Mathématiques, Domaine non défini","['Multi-agent systems', 'Data-driven control', 'Observer design', 'Neural networks', 'Hybrid dynamical systems', 'Distributed control', 'Reset control', 'Event-triggered control', 'Networked systems', 'Stability analysis', 'Switched systems']","['Centre de Recherche en Automatique de Nancy', 'Inria Grenoble - Rhône-Alpes', 'Grenoble Images Parole Signal Automatique', 'Laboratoire des signaux et systèmes', ""Laboratoire d'analyse et d'architecture des systèmes""]"
Zaytoon,Janan,janan-zaytoon,['janan-zaytoon'],"['Informatics in Control, Automation and Robotics']",4322574,2022,Ouvrage,"Informatique, Mathématiques, Optimisation et contrôle",[],"['Laboratoire Images, Signaux et Systèmes Intelligents', 'Laboratoire Images, Signaux et Systèmes Intelligents']"
